created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Jan 03 16:30:55 +0000 2024,1.74E+18,Lazada Lazflash Extra 4 Januari 2024  https://t.co/kynIiftg7f  #flashsale #promo #diskon #lazada https://t.co/LPrkrpaqZm,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1742584335801405937
Wed Jan 03 12:07:40 +0000 2024,1.74E+18,Ada yg mau voucher 15k parfum HMNS?  #voucher #diskon #zonauang #zonajajan #HMNS,0,0,0,1,in,1.71E+18,1.74E+18,Quinshaas,https://twitter.com/Quinshaas/status/1742518086337749095
Wed Jan 03 09:35:12 +0000 2024,1.74E+18,"Hi-ers! ðŸ‘‹ Ada kabar gembira nih buat kamu, Baja Ringan 0.75 lagi promo loh. Borong segera yuk, jangan sampai ketinggalan! ðŸ¤‘  Khusus pembelian lewat website harga lebih murah loh. Klik https://t.co/kACQBwUxs7 dan check out sekarang!  #HiSteel #promo #diskon #belanja #shopping https://t.co/l630PwnGho",0,1,0,0,in,1044533100,1.74E+18,histeelindo,https://twitter.com/histeelindo/status/1742479713434776042
Wed Jan 03 09:28:45 +0000 2024,1.74E+18,*PROMO PRODUK ANEKA BEKAL SEKOLAH LEBIH HEMAT S.D. 44%* Nikmati harga spesial Wortel Brastagi dari~Rp14.000~*JADI CUMA Rp7.900 AJA*ðŸ¥³  Belanja hanya di  https://t.co/PeaHl1PjYz  Gratis ongkir   #Indonesia #Jabodetabek #viral #kuliner #makanan #fyp #belanja #diskon #TahunBaru2024 https://t.co/Zn5uZrOMVp,0,0,0,0,in,1.64E+18,1.74E+18,Logistiksehatid,https://twitter.com/Logistiksehatid/status/1742478091413487640
Wed Jan 03 05:46:10 +0000 2024,1.74E+18,"Beli 10 kuota TO + dapet pembahasan live bareng MT di ruangguru, Yuk bisa beli dengan kode diskon: YUKJOIN898 bisa dapetin diskon 60% belinya di  https://t.co/DRdrdbpe9r #TO #UTBK #ruangguru #zonauangá…  #diskon https://t.co/z26yJZPIae",0,0,0,0,in,1.51E+18,1.74E+18,Flayi3,https://twitter.com/Flayi3/status/1742422075913203926
Wed Jan 03 05:05:58 +0000 2024,1.74E+18,"Hi Ultranian! ðŸŽ‰  Bingung makan siang apa? Tetep pengen makan enak, tapi gak mau boros jugaðŸ˜¢  Coba deh, liat rekomendasi makan siang dari Mimin berdasarkan angka terakhir love postingan ini! Komen ya, kamu dapat apaðŸ‘  #PakaiUltraVoucher #promo #diskon #voucher #diskonmakanan https://t.co/MK8AeTdIjK",0,1,1,3,in,1.18E+18,1.74E+18,ultra_voucher,https://twitter.com/ultra_voucher/status/1742411961587941822
Wed Jan 03 04:33:40 +0000 2024,1.74E+18,Lazada Crazy Deal &amp  Lazflash Extra Jam 12  https://t.co/6G528X0zRG  #flashsale #promo #diskon #lazada https://t.co/0azMadWNLI,0,1,0,0,en,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1742403833052213350
Wed Jan 03 02:54:18 +0000 2024,1.74E+18,"Biar makin semangat di awal tahun, ada diskon Up To 70% dari Bedink Mattress Store buat kamu! ðŸ˜  Pas banget nih buat checkout wishlist kamu yang udah menunggu di keranjang dari tahun kemarin ðŸ¥°ðŸ›’âœ¨  #Bedink #Kasur #ThinkBed #Mattress #Sale #Promo #Diskon #BeliLokal #PilihLokal https://t.co/lZAxK7FDdI",0,0,0,0,in,1.32E+18,1.74E+18,bedinkmattress,https://twitter.com/bedinkmattress/status/1742378825496039933
Wed Jan 03 02:35:19 +0000 2024,1.74E+18,TISU BISA PAKAI DISKON 30%  Jolly https://t.co/u49ymSQn7z  Montis https://t.co/AqP2l1z7k7  CEK PRODUK LAIN DISINI https://t.co/JH3eMWZJDt  #promo #diskon #tisu,0,0,0,0,in,533120138,1.74E+18,andsstuff,https://twitter.com/andsstuff/status/1742374050247381098
Wed Jan 03 02:34:49 +0000 2024,1.74E+18,MINYAK YANG BISA PAKAI DISKON 30%  SOVIA https://t.co/CAq9TL3S2N  SANIA https://t.co/e1BEch7yIa  SUNCO https://t.co/VSfy87MRH0  #diskon #tokopedia #promo #minyak,0,0,0,0,in,533120138,1.74E+18,andsstuff,https://twitter.com/andsstuff/status/1742373920672735683
