created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 20 17:00:48 +0000 2023;1726646789275820076;"Rekomendasi Liptint Cipokable bgt nih bestiee🥰  -- A Thread -- https://t.co/8v6BreJfSw";0;1;0;0;in;2981903744;1726646789275820076;InspirasiDiskon;https://twitter.com/InspirasiDiskon/status/1726646789275820076
Mon Nov 20 17:00:26 +0000 2023;1726646694828527799;"Ada diskon 90% nih jadi Rp24.900. Cek di Tokopedia, deh. Bentar lagi diskonnya berakhir, lho! https://t.co/MvGH8RflNo https://t.co/KhNPNocYCh";1;0;0;1;in;1305090402626617344;1726646694828527799;xkode06;https://twitter.com/xkode06/status/1726646694828527799
Mon Nov 20 16:57:06 +0000 2023;1726645857800564785;"LazFlash Kebut Voucher 🕛 00:00 | 21 Nov  [Rp500] Diskon 20% s/d 3k https://t.co/dChp5PgHP8  [Rp5.000] Diskon 15% s/d 15k https://t.co/p69skLacJg Diskon 10% s/d 50k https://t.co/qt6xBFvFoI Diskon 3% s/d 150k https://t.co/WOwfXbLqEv https://t.co/0i43KOxYrT";0;0;0;0;in;1672464836;1726645857800564785;i_m_mortal_;https://twitter.com/i_m_mortal_/status/1726645857800564785
Mon Nov 20 16:56:27 +0000 2023;1726645693937582552;"Kemungkinan Restock Pukul 00:00 | 21 Nov -------- Promo GrabFood | Grab  Kode : VISAGF  *Diskon 25rb minbel 75rb *Metode pembayaran VISA *Dapat digabung dengan Promo Resto *Kuota harian Terbatas (maks 2kali/bulan) *Bisa pesanan terjadwal https://t.co/3Osj8lomm7";0;0;0;4;in;1305090402626617344;1726645693937582552;xkode06;https://twitter.com/xkode06/status/1726645693937582552
Mon Nov 20 16:56:14 +0000 2023;1726645637931061711;"woi ini diskon seirockya sampe kapan yaaa??????";0;4;0;0;in;1350424273278570496;1726645637931061711;marvenvier;https://twitter.com/marvenvier/status/1726645637931061711
Mon Nov 20 16:52:49 +0000 2023;1726644778081853456;"@yayayayot_ Semoga rejeki yaw kak! Janlup ikutan war diskon 😍🙌🏻";0;0;0;0;in;72293042;1726104788398739931;tokopedia;https://twitter.com/tokopedia/status/1726644778081853456
Mon Nov 20 16:52:45 +0000 2023;1726644763661881822;"@bookwormdaily Mumpung diskon 😍";0;0;0;0;in;1381811255573241856;1726594094745686384;lovunakim;https://twitter.com/lovunakim/status/1726644763661881822
Mon Nov 20 16:52:12 +0000 2023;1726644623219818693;"lazada tu lg bakar duit ya?? mksd gue di oren aja harganya 220an alt live dpt 190. dia malah diskon smpe 178 rebu🥲🥲 tp kudu slalu cek krn per 10 menit berubah harganya yesss https://t.co/OwOHGQoKV5";0;1;0;0;in;920841361011523584;1726644623219818693;thispipiy;https://twitter.com/thispipiy/status/1726644623219818693
Mon Nov 20 16:50:55 +0000 2023;1726644302548550123;"@picknvva @dbrakape @discountfess Mjb, ini pembayaran nya pake apa biar bisa dpt diskon segini?";0;0;0;0;in;1339381454703226880;1726630231749062778;haneymilktea;https://twitter.com/haneymilktea/status/1726644302548550123
Mon Nov 20 16:50:55 +0000 2023;1726644302066110623;"@Momomokacia @crescent_floo @Reymondist_ @Greschinov cakep nih, copas ya kak";0;0;0;0;in;1479712759784742912;1726289621909483993;miss_checkout;https://twitter.com/miss_checkout/status/1726644302066110623
